time(s);keff(-);power(W);flux0;flux1(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;TCoolant_Max;Avg;Min(K);
46.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
47;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
47.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
47.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
47.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
47.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
48;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
48.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
48.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
48.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
48.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
49;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
49.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
49.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
49.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
49.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
50;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
50.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
50.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
50.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
50.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
51;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
51.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
51.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
51.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
51.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
52;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
52.2;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
52.4;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
52.6;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
52.8;1.00346;0.2;0.1;0.1;0;0;0;0;0;0;600;599.99;599.99;
